ConfigRuleName,ResourceId,ResourceType
securityhub-alb-http-drop-invalid-header-enabled-594af072,arn:aws:elasticloadbalancing:us-east-1:536184987351:loadbalancer/app/nft-enclave-executor-lb/123060df75e609c8,AWS::ElasticLoadBalancingV2::LoadBalancer
securityhub-alb-http-drop-invalid-header-enabled-594af072,arn:aws:elasticloadbalancing:us-east-1:536184987351:loadbalancer/app/nft-payment-gateway/ba7bf3f97580a08f,AWS::ElasticLoadBalancingV2::LoadBalancer
securityhub-alb-http-drop-invalid-header-enabled-594af072,arn:aws:elasticloadbalancing:us-east-1:536184987351:loadbalancer/app/priva-priva-6WB2I7NNASWR/22cca59e5b830b6d,AWS::ElasticLoadBalancingV2::LoadBalancer
securityhub-alb-http-drop-invalid-header-enabled-594af072,arn:aws:elasticloadbalancing:us-east-1:536184987351:loadbalancer/app/produ-publi-8IWTFTH1DKY3/c4140fad662e4d4b,AWS::ElasticLoadBalancingV2::LoadBalancer
securityhub-alb-http-drop-invalid-header-enabled-594af072,arn:aws:elasticloadbalancing:us-east-1:536184987351:loadbalancer/app/produ-publi-BPC5M4PR633N/efd31454c922c1f2,AWS::ElasticLoadBalancingV2::LoadBalancer
securityhub-alb-http-to-https-redirection-check-8c842816,arn:aws:elasticloadbalancing:us-east-1:536184987351:loadbalancer/app/nft-enclave-executor-lb/123060df75e609c8,AWS::ElasticLoadBalancingV2::LoadBalancer
securityhub-alb-http-to-https-redirection-check-8c842816,arn:aws:elasticloadbalancing:us-east-1:536184987351:loadbalancer/app/nft-payment-gateway/ba7bf3f97580a08f,AWS::ElasticLoadBalancingV2::LoadBalancer
securityhub-cloudfront-default-root-object-configured-f2391fb4,E6F55T4UTPL3E,AWS::CloudFront::Distribution
securityhub-cloudfront-origin-access-identity-enabled-aa00c48f,E6F55T4UTPL3E,AWS::CloudFront::Distribution
securityhub-cloudfront-origin-failover-enabled-8d46e0f2,E6F55T4UTPL3E,AWS::CloudFront::Distribution
securityhub-cmk-backing-key-rotation-enabled-1a2e73c0,24f30423-e463-4a3d-bd31-ded1988a7627,AWS::KMS::Key
securityhub-cmk-backing-key-rotation-enabled-1a2e73c0,4e6d699e-7c89-4d93-951d-8eea4d2c522d,AWS::KMS::Key
securityhub-cmk-backing-key-rotation-enabled-1a2e73c0,5bc164e0-6dea-429f-95ab-2d7ae7a08105,AWS::KMS::Key
securityhub-cmk-backing-key-rotation-enabled-1a2e73c0,8bda211b-87ba-48e5-a174-6d5ee99e21c2,AWS::KMS::Key
securityhub-cmk-backing-key-rotation-enabled-1a2e73c0,a2b0ab51-6f41-4c4a-880f-5297c9951b22,AWS::KMS::Key
securityhub-cmk-backing-key-rotation-enabled-1a2e73c0,afa452e3-0138-4694-89f5-235fbf7f55ab,AWS::KMS::Key
securityhub-dynamodb-autoscaling-enabled-d9f75dc4,topps-datadog-terraform,AWS::DynamoDB::Table
securityhub-dynamodb-pitr-enabled-6fda179d,topps-datadog-terraform,AWS::DynamoDB::Table
securityhub-ec2-ebs-encryption-by-default-c77a4077,536184987351,AWS::::Account
securityhub-ec2-imdsv2-check-cae918d5,i-00e5a94366794e4a9,AWS::EC2::Instance
securityhub-ec2-imdsv2-check-cae918d5,i-011232a4740a1e994,AWS::EC2::Instance
